stroke_id,mse_raw,mae_raw,mse_bezier,mae_bezier,mse_ml,mae_ml,cont_raw,cont_bezier,cont_ml
0,0.0020284308,0.034443915,0.0019041036053199128,0.03220070557548269,0.0009968295,0.023194065,0.018697092,0.009661401148391585,0.008079796
1,0.003253527,0.048247233,0.0031231067647122216,0.047579350614939106,0.004442628,0.056486357,0.018282102,0.00844676788376099,0.007819702
2,0.0028827242,0.041483447,0.002416808605521798,0.0377061203269336,0.0026040245,0.036766727,0.01947721,0.010813419244349106,0.008804578
3,0.0021331757,0.037785012,0.001764066861414417,0.034358118980843226,0.002423889,0.037102018,0.019171862,0.009507799111759281,0.008555554
4,0.0010990318,0.026587738,0.012540039585556263,0.08803868409799578,0.00075869635,0.021450458,0.023155076,0.014293223552760206,0.0157422
5,0.008076837,0.07976247,0.010079569299669695,0.08888864965102222,0.0055883126,0.067340136,0.024192318,0.011694510734633998,0.009287894
6,0.0007139804,0.021500168,0.0006209283335339783,0.020017927818816162,0.0005712814,0.0189122,0.020889647,0.010747477853717475,0.008816169
7,0.0028860434,0.0382406,0.0028492399360013146,0.037635004005075356,0.0031918432,0.038277835,0.020075414,0.0089683667481344,0.009200751
8,0.0029424569,0.042823885,0.0029938310482724175,0.04450045618583279,0.0023596063,0.03696425,0.018553896,0.009091331092284808,0.007173761
9,0.0021035625,0.037868652,0.006362904032170746,0.06556881889093989,0.0012277926,0.03008053,0.023329815,0.016006747201791505,0.015464218
10,0.007679033,0.06345066,0.0073172265461469415,0.061816737817940365,0.0033434418,0.043863732,0.018229812,0.008816907736241154,0.007855298
11,0.008023959,0.07980242,0.008407880271926477,0.08210813784570636,0.00532839,0.065554574,0.019433465,0.010418129538375724,0.008092745
12,0.004015524,0.051606134,0.003944008737501477,0.05009509156367371,0.0026761405,0.041137677,0.021300389,0.010349940827161305,0.008219682
13,0.0010169426,0.025547775,0.001748736785260857,0.034548410742638244,0.000446263,0.017036282,0.020316126,0.014442627260487284,0.01554686
14,0.0055097397,0.060526542,0.00567775009514062,0.059375176362117796,0.0052966094,0.063616306,0.020860983,0.009280916038144058,0.008809346
15,0.00049680576,0.018204179,0.004312289350099387,0.048824428094746256,0.00034379505,0.015014212,0.022113185,0.015791692036026032,0.015015964
16,0.0021274202,0.038281478,0.002276190497418929,0.04013935161349459,0.0009673271,0.023509214,0.018505767,0.008195474965732535,0.0065748296
17,0.00839291,0.08196525,0.014721068667123546,0.1077433719842448,0.0063540805,0.070682116,0.019501576,0.01095549987296784,0.009014765
18,0.0063567488,0.07070437,0.006385061805352173,0.07177124677441106,0.0027516698,0.047066584,0.018905789,0.010376417395540995,0.009243387
19,0.004590783,0.052564885,0.004815554647592052,0.05229184510345233,0.0050920313,0.056079905,0.019901818,0.008397919123042845,0.008011747
20,0.0018623753,0.035769936,0.004626895952360541,0.055701401339581263,0.00071907305,0.023502916,0.023115113,0.014525097649902395,0.015305526
21,0.003330113,0.04768777,0.003990744809672521,0.0530622696044021,0.0027557975,0.045001574,0.020893913,0.014927477203157534,0.015330557
22,0.0020798994,0.036822557,0.011820230943334283,0.08706954603176721,0.000700371,0.021912176,0.02296571,0.017187600503156347,0.014796795
23,0.0015915089,0.03205226,0.0013871197523173946,0.029470628000589208,0.0011257834,0.026602592,0.021769814,0.010621242335252237,0.0095527815
